mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,zcr_mean,label
-113.619384765625,121.55301666259766,-19.15105628967285,42.345767974853516,-6.3711676597595215,18.613033294677734,-13.692060470581055,15.339378356933594,-12.28361701965332,10.973774909973145,-8.322409629821777,8.806787490844727,-3.665802001953125,50.703182220458984,17.196640014648438,15.348609924316406,12.28150463104248,12.962430953979492,9.442964553833008,8.222212791442871,8.310419082641602,9.063801765441895,7.962441444396973,7.861968040466309,7.161843299865723,6.422743320465088,0.361726850271225,0.36761870980262756,0.43998005986213684,0.24463452398777008,0.2478017657995224,0.3356154263019562,0.3645760416984558,0.43564707040786743,0.2958413064479828,0.3146337866783142,0.40656036138534546,0.38477030396461487,15.987602688701612,15.102477692088824,18.458409057377718,18.363125053822007,18.9187388027038,17.190236092452114,39.66757667158581,0.08306639113293343,blues
-207.58151245117188,123.99714660644531,8.939114570617676,35.870758056640625,2.9199705123901367,21.518787384033203,-8.555368423461914,23.355937957763672,-10.10103702545166,11.90644359588623,-5.558122634887695,5.375942230224609,-2.237833023071289,88.15198516845703,23.667762756347656,23.931154251098633,16.274375915527344,16.734619140625,12.508814811706543,14.176376342773438,11.931994438171387,12.893104553222656,10.215604782104492,10.25786018371582,9.813216209411621,8.056106567382812,0.45962226390838623,0.34987717866897583,0.3209685981273651,0.2115858793258667,0.20090791583061218,0.3310050964355469,0.3976469337940216,0.5606763362884521,0.3843792974948883,0.255473792552948,0.28495901823043823,0.3342382609844208,15.984914561002014,17.0562328248644,19.129323982388623,19.18787122800779,18.324038624421977,17.50447952941415,37.51898531757912,0.056044256724071206,blues
-90.7763442993164,140.4486083984375,-29.10055923461914,31.687339782714844,-13.975973129272461,25.741682052612305,-13.644712448120117,11.623111724853516,-11.775920867919922,9.70046615600586,-13.115348815917969,5.785763263702393,-8.89973258972168,57.61764907836914,22.563512802124023,20.297462463378906,12.00615119934082,12.490620613098145,8.629561424255371,10.328758239746094,10.326069831848145,8.104654312133789,8.236836433410645,7.592525005340576,8.037508964538574,7.776660442352295,0.2726714015007019,0.19586877524852753,0.31525424122810364,0.4081348180770874,0.5470826029777527,0.3217753767967224,0.30478695034980774,0.2885168790817261,0.3342420160770416,0.40191107988357544,0.3843080401420593,0.5881897211074829,26.33225553065585,14.191932556756637,17.706643575580642,19.417249535025636,20.344435037793545,18.314964839749916,39.035077300462454,0.07630074799245357,blues
-199.46200561523438,150.09474182128906,5.649167060852051,26.87014389038086,1.755440592765808,14.2368803024292,-4.8288726806640625,9.29784870147705,-0.7531418800354004,8.147393226623535,-3.1952357292175293,6.085353851318359,-2.4761881828308105,74.13482666015625,21.367420196533203,16.032691955566406,12.577670097351074,16.36771583557129,11.264205932617188,12.492485046386719,9.00948715209961,9.61051082611084,8.439374923706055,10.50359058380127,6.941435813903809,7.537466049194336,0.34086182713508606,0.40857699513435364,0.5245686173439026,0.5470744967460632,0.6571127772331238,0.5116710662841797,0.35563045740127563,0.251690149307251,0.24638640880584717,0.31520888209342957,0.31654343008995056,0.3828551471233368,29.797804247563928,14.765636719360783,17.239783565071527,18.63621706926385,18.49075823426367,16.790485158755587,34.27801571154383,0.03330894446594427,blues
-160.29185485839844,126.19576263427734,-35.602500915527344,22.151168823242188,-32.487640380859375,10.862022399902344,-23.357162475585938,0.5005233287811279,-11.804770469665527,1.2038776874542236,-13.085074424743652,-2.8098487854003906,-6.9356207847595215,72.09815979003906,29.218793869018555,18.267778396606445,13.916655540466309,18.34260368347168,11.610199928283691,9.659235000610352,11.169668197631836,11.401259422302246,9.989755630493164,8.961198806762695,9.300108909606934,9.466440200805664,0.19272667169570923,0.3172316551208496,0.39155152440071106,0.25590550899505615,0.1928039789199829,0.5305815935134888,0.2539423406124115,0.1392154097557068,0.27655506134033203,0.3243357837200165,0.5552976727485657,0.2730299234390259,17.057412884710494,15.693513459090605,19.12555886683112,20.526383065422213,20.785517461022902,19.713926518666607,37.33880412136976,0.1015001421004257,blues
-177.88876342773438,118.18952941894531,-17.550729751586914,30.753101348876953,-21.732107162475586,11.898545265197754,-20.732280731201172,3.176168918609619,-8.575770378112793,-0.9401844143867493,-11.773798942565918,-2.4260759353637695,-9.342486381530762,85.46055603027344,56.54740905761719,25.576311111450195,22.045116424560547,20.820207595825195,16.312280654907227,13.032559394836426,11.562215805053711,13.127508163452148,10.00648021697998,8.751916885375977,8.86025333404541,8.951683044433594,0.23830761015415192,0.3001772165298462,0.6168901920318604,0.23552347719669342,0.12392118573188782,0.2436339408159256,0.27951210737228394,0.41132164001464844,0.24399375915527344,0.28561267256736755,0.28419914841651917,0.3658749759197235,17.47173427154148,19.563742281296186,21.294820438166678,21.350197303286826,20.782888052062248,19.40352798039331,37.94590337195688,0.09403986975135449,blues
-190.17501831054688,130.29241943359375,-36.348472595214844,33.029090881347656,11.085680961608887,-0.5963724851608276,-20.882356643676758,0.2771161198616028,-6.500870704650879,-5.515623092651367,-7.8452887535095215,-3.123599052429199,-6.5957159996032715,98.21621704101562,43.98217010498047,36.16135787963867,21.91622543334961,32.917903900146484,16.73988151550293,12.316180229187012,10.14377498626709,11.451950073242188,12.38908576965332,9.358327865600586,8.014026641845703,8.897414207458496,0.42547881603240967,0.22330671548843384,0.1313037872314453,0.1526467353105545,0.2418576180934906,0.4910733699798584,0.2456035315990448,0.16917839646339417,0.2882331311702728,0.4614280164241791,0.35944870114326477,0.3073091208934784,24.761686388889366,21.07530470251667,22.20890664723946,21.261253966206972,21.647741736833122,20.145598260935973,32.880478388843535,0.07302790308146284,blues
-179.42007446289062,136.4420928955078,-26.644338607788086,39.979591369628906,5.301814556121826,10.921236991882324,-20.555347442626953,8.507476806640625,-11.35435962677002,-3.4690983295440674,-8.414113998413086,-6.956976890563965,-3.5483481884002686,81.08917236328125,38.47041320800781,24.31002426147461,18.79252815246582,25.50387191772461,11.677462577819824,12.794587135314941,12.30766773223877,13.115826606750488,13.357223510742188,12.151824951171875,9.153006553649902,9.660816192626953,0.25941815972328186,0.26425817608833313,0.32541999220848083,0.21780180931091309,0.2151205837726593,0.295216828584671,0.1900440901517868,0.1808650642633438,0.26435011625289917,0.3901410400867462,0.6485509872436523,0.43658754229545593,20.215365526323623,20.094576698389947,20.711897948475954,19.629865396658026,20.705410723231054,19.60440192458332,36.12081799513814,0.06143500266060371,blues
-121.38711547851562,122.5053939819336,-14.739394187927246,46.135292053222656,-8.160384178161621,20.170509338378906,-19.169321060180664,23.050188064575195,-11.825939178466797,21.173410415649414,-6.720290660858154,7.005018711090088,-12.739909172058105,51.201961517333984,20.364900588989258,18.476787567138672,13.921792984008789,13.293728828430176,10.343644142150879,7.594192028045654,8.770051956176758,6.517716407775879,7.644031047821045,6.997152328491211,7.499757289886475,7.867430210113525,0.31952103972435,0.3046649396419525,0.36683228611946106,0.42233848571777344,0.524003803730011,0.4506942629814148,0.493522047996521,0.3529855012893677,0.38034287095069885,0.46188274025917053,0.366482138633728,0.46470749378204346,29.493772582869763,15.129731925950475,17.020851583382814,17.03142049834697,19.69371660973148,17.621792078515444,40.62273896813749,0.06402757957623839,blues
-213.20452880859375,115.154541015625,-11.720502853393555,39.032554626464844,-20.357818603515625,13.089925765991211,-9.180814743041992,9.023638725280762,-14.101024627685547,4.283337116241455,-6.044196128845215,3.786367893218994,0.22368738055229187,78.3143081665039,28.262224197387695,25.86415672302246,18.730318069458008,23.0716552734375,16.684894561767578,11.249238014221191,8.243319511413574,10.496000289916992,9.617186546325684,9.212237358093262,10.222246170043945,8.740899085998535,0.24841243028640747,0.2733064293861389,0.4887445867061615,0.26811468601226807,0.1795714646577835,0.2677972614765167,0.22273746132850647,0.41564545035362244,0.2728808522224426,0.18116427958011627,0.2293047159910202,0.24049191176891327,14.330905860745972,17.63960709820347,21.926797282717327,20.2309716071656,18.564728908036567,18.909647349158625,36.50457567144057,0.0792153184258901,blues
